159
100
5 31  6 31  7 32  7 33  7 30  7 28  7 27  6 35  6 37  7 38  7 40  6 41  5 39  4 39  3 37  3 36  1 36  1 38  0 38  0 35  3 32  2 32  2 31  2 28  3 28  4 28  1 28  4 26  1 26  1 25  4 23  4 22  5 20  6 20  0 23  0 22  0 21  1 20  1 18  2 18  2 17  2 16  3 17  1 16  3 15  3 14  3 13  1 14  1 13  2 12  2 11  3 10  3 9  4 9  5 9  5 11  5 12  5 13  4 7  6 14  6 15  7 15  7 16  7 13  5 6  5 5  6 5  6 4  6 3  7 3  5 3  5 2  4 3  7 6  3 6  2 5  1 5  2 8  0 4  0 11  7 10  7 0  2 2  3 0  2 41  1 43  0 43  1 45  2 45  0 45  0 46  3 46  4 46  4 45  5 45  3 48  5 48  5 49  0 49  1 49  
123
2 11  0 11 
3 10  3 11 
3 11  2 11 
2 12  2 11 
3 9  3 10 
2 8  2 9 
2 9  3 9 
4 9  3 9 
4 7  4 9 
5 9  4 9 
3 6  4 6 
4 6  4 7 
5 6  4 6 
4 6  4 7 
2 5  2 6 
2 6  3 6 
2 2  2 5 
1 5  2 5 
3 0  3 2 
3 2  2 2 
0 4  0 5 
0 5  1 5 
5 5  5 6 
6 5  5 5 
7 6  6 6 
6 6  6 5 
6 4  6 5 
6 3  6 4 
5 3  6 3 
7 3  6 3 
4 3  5 3 
5 2  5 3 
7 0  7 3 
5 11  5 9 
5 12  5 11 
5 13  5 12 
6 14  5 14 
5 14  5 13 
6 15  6 14 
7 15  6 15 
7 13  7 15 
7 16  7 15 
7 10  7 13 
3 13  2 13 
2 13  2 12 
3 14  3 13 
3 15  3 14 
3 17  3 15 
2 17  3 17 
2 16  2 17 
2 18  2 17 
1 16  2 16 
1 14  1 16 
1 13  1 14 
1 18  2 18 
1 20  1 18 
0 21  1 21 
1 21  1 20 
0 22  0 21 
0 23  0 22 
1 25  0 25 
0 25  0 23 
1 26  1 25 
1 28  1 26 
2 28  1 28 
3 28  2 28 
2 31  2 28 
4 28  3 28 
4 26  4 28 
4 23  4 26 
4 22  4 23 
5 20  5 22 
5 22  4 22 
6 20  5 20 
2 32  2 31 
3 32  2 32 
5 31  5 32 
5 32  3 32 
6 31  5 31 
7 32  7 31 
7 31  6 31 
7 30  7 32 
7 33  7 32 
7 28  7 30 
7 27  7 28 
6 35  7 35 
7 35  7 33 
6 37  6 35 
5 39  6 39 
6 39  6 37 
7 38  6 38 
6 38  6 37 
4 39  5 39 
3 37  3 39 
3 39  4 39 
3 36  3 37 
1 36  3 36 
0 35  0 36 
0 36  1 36 
1 38  1 36 
2 41  1 41 
1 41  1 38 
0 38  1 38 
1 43  1 41 
1 41  2 41 
1 45  1 43 
0 43  1 43 
0 45  1 45 
2 45  1 45 
0 46  0 45 
0 49  0 46 
1 49  0 49 
3 46  2 46 
2 46  2 45 
3 48  3 46 
4 46  3 46 
5 48  3 48 
5 49  5 48 
4 45  4 46 
5 45  4 45 
7 40  7 38 
6 41  7 41 
7 41  7 40 
